kind	address	name	ghidra_type	array_size	description
MEAS	0x0040429A	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor2]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x0040429C	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor3]	sword	1	VaOXYO_e_OutputControlState[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x004042A0	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor1]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor1]
MEAS	0x004042A1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor2]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor2]
MEAS	0x004042A2	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor3]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank1_Sensor3]
MEAS	0x004042A3	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor1]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor1]
MEAS	0x004042A4	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor2]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor2]
MEAS	0x004042A5	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor3]	byte	1	VaOXYO_e_Htr_PID1126[CiOXYR_O2_Bank2_Sensor3]
MEAS	0x004042A6	SbOXYO_HtrOutputDriverDiagEnbl	byte	1	SbOXYO_HtrOutputDriverDiagEnbl
MEAS	0x004042A8	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrA].e_Cnt_Fail	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrA].e_Cnt_Fail
MEAS	0x004042AA	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrA].e_Cnt_Sample	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrA].e_Cnt_Sample
MEAS	0x004042AC	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrB].e_Cnt_Fail	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrB].e_Cnt_Fail
MEAS	0x004042AE	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrB].e_Cnt_Sample	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrB].e_Cnt_Sample
MEAS	0x004042B0	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrC].e_Cnt_Fail	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrC].e_Cnt_Fail
MEAS	0x004042B2	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrC].e_Cnt_Sample	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrC].e_Cnt_Sample
MEAS	0x004042B4	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrD].e_Cnt_Fail	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrD].e_Cnt_Fail
MEAS	0x004042B6	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrD].e_Cnt_Sample	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrD].e_Cnt_Sample
MEAS	0x004042B8	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrE].e_Cnt_Fail	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrE].e_Cnt_Fail
MEAS	0x004042BA	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrE].e_Cnt_Sample	word	1	VaOXYO_h_O2_SnsrHtrN_Counters[CeOXYO_O2_SnsrHtrE].e_Cnt_Sample
